Timestamp,From_Bank,From_Account,To_Bank,To_Account,Amount_Received,Receiving_Currency,Amount_Paid,Payment_Currency,Payment_Format,Is_Laundering
9/1/2022 1:10,11081,800AD3640,741,800A61EF0,469458,US Dollar,469458,US Dollar,ACH,0
9/1/2022 1:15,1208,800B09AB0,1208,800B09AB0,12.97,US Dollar,12.97,US Dollar,Reinvestment,0
9/1/2022 1:26,12582,8036BD580,12582,8036BD580,6.77,US Dollar,6.77,US Dollar,Reinvestment,0
9/1/2022 1:12,18489,80404F3A0,18489,80404F3A0,13858.04,US Dollar,13858.04,US Dollar,Reinvestment,0
9/1/2022 1:25,16018,80450C6A0,16018,80450C6A0,24.86,US Dollar,24.86,US Dollar,Reinvestment,0
9/1/2022 1:24,11,800070E40,0,8001202E0,12518.82,US Dollar,12518.82,US Dollar,Cheque,0
9/1/2022 1:19,11,800070E40,0,8001202E0,7747.67,US Dollar,7747.67,US Dollar,Cash,0
9/1/2022 1:27,0,800148380,0,800148380,58059.63,US Dollar,58059.63,US Dollar,Reinvestment,0
9/1/2022 1:18,20,80006EC00,0,800148380,2032.58,US Dollar,2032.58,US Dollar,Cheque,0
9/1/2022 1:22,20,80006EC00,0,800148380,547.6,US Dollar,547.6,US Dollar,Credit Card,0
9/1/2022 1:14,3306,800197B00,20,8001983E0,231.73,US Dollar,231.73,US Dollar,ACH,0
9/1/2022 1:20,2310,8001CF590,0,8001CF4F0,2536.53,US Dollar,2536.53,US Dollar,ACH,0
9/1/2022 1:06,0,8001CEBD0,0,8001CF4F0,1937.76,US Dollar,1937.76,US Dollar,ACH,0
9/1/2022 1:19,1208,8001407D0,1208,8001407D0,24.53,US Dollar,24.53,US Dollar,Reinvestment,0
9/1/2022 1:12,1208,8001D3560,1208,8001D3560,4.19,US Dollar,4.19,US Dollar,Reinvestment,0
9/1/2022 1:20,11,8001D2DB0,1208,80020B8D0,1123.16,US Dollar,1123.16,US Dollar,Cheque,0
9/1/2022 1:23,11,8001D2DB0,1208,80020B8D0,1989.58,US Dollar,1989.58,US Dollar,Cash,0
9/1/2022 1:10,0,800071D00,0,80021E130,24184.69,US Dollar,24184.69,US Dollar,Cheque,0
9/1/2022 1:01,3217,800224540,3217,800224540,3179.04,US Dollar,3179.04,US Dollar,Reinvestment,0
9/1/2022 1:27,0,8001E9480,11,80022CD60,1026.82,US Dollar,1026.82,US Dollar,Cheque,0
9/1/2022 1:21,0,8001E9480,11,80022CD60,6398.38,US Dollar,6398.38,US Dollar,Credit Card,0
9/1/2022 1:12,2310,8002333B0,2310,8002333B0,18376.76,US Dollar,18376.76,US Dollar,Reinvestment,0
9/1/2022 1:20,214,800232910,214,800236AE0,1679194,US Dollar,1679194,US Dollar,Cheque,0
9/1/2022 1:28,20,80022EDF0,20,80022EDF0,18.2,US Dollar,18.2,US Dollar,Reinvestment,0
9/1/2022 1:22,11,80027A600,11,80027A600,1155.89,US Dollar,1155.89,US Dollar,Reinvestment,0
9/1/2022 1:25,0,8002FFE40,0,8002FFE40,22.61,US Dollar,22.61,US Dollar,Reinvestment,0
9/1/2022 1:17,11,800072260,0,8003343D0,801.62,US Dollar,801.62,US Dollar,Cheque,0
9/1/2022 1:26,11,800072260,0,8003343D0,793.66,US Dollar,793.66,US Dollar,Credit Card,0
9/1/2022 1:29,0,8003343D0,0,8003343D0,3.39,US Dollar,3.39,US Dollar,Reinvestment,0
9/1/2022 1:14,0,800341070,0,800341070,11.45,US Dollar,11.45,US Dollar,Reinvestment,0
9/1/2022 1:04,1208,8002FFBC0,0,8003416D0,1953.89,US Dollar,1953.89,US Dollar,Cheque,0
9/1/2022 1:07,1208,8002FFBC0,0,8003416D0,3296.2,US Dollar,3296.2,US Dollar,Cash,0
9/1/2022 1:01,1208,8002FFBC0,0,8003416D0,2122.5,US Dollar,2122.5,US Dollar,Wire,0
9/1/2022 1:29,214,800351630,214,800351630,9.15,US Dollar,9.15,US Dollar,Reinvestment,0
9/1/2022 1:23,2310,80033FE50,1208,8003536B0,1138.56,US Dollar,1138.56,US Dollar,Cheque,0
