Timestamp,From_Bank,Account,To_Bank,Account_duplicated_0,Amount_Received,Receiving_Currency,Amount_Paid,Payment_Currency,Payment_Format,Is_Laundering
9/1/2022 2:18,20,800073020,20,800073020,24.73,US Dollar,24.73,US Dollar,Reinvestment,0
9/1/2022 2:18,34097,8018AF130,34097,8018AF130,300.26,US Dollar,300.26,US Dollar,Reinvestment,0
9/1/2022 2:10,111113,804344F70,111113,804344F70,1017.59,US Dollar,1017.59,US Dollar,Reinvestment,0
9/1/2022 2:14,23285,8043C2F80,23285,8043C2F80,2566.25,US Dollar,2566.25,US Dollar,Reinvestment,0
9/1/2022 2:16,11,8043D1CC0,11,8043D1CC0,9.01,US Dollar,9.01,US Dollar,Reinvestment,0
9/1/2022 2:10,22217,805054050,22217,805054050,18.43,US Dollar,18.43,US Dollar,Reinvestment,0
9/1/2022 2:28,27343,8052ED460,27343,8052ED460,1185.22,US Dollar,1185.22,US Dollar,Reinvestment,0
9/1/2022 2:15,12877,8055622C0,12877,8055622C0,14995.79,US Dollar,14995.79,US Dollar,Reinvestment,0
9/1/2022 2:06,20,80006FA90,20,80006FA90,640.18,US Dollar,640.18,US Dollar,Cheque,0
9/1/2022 2:28,20,80006E700,20,80006E700,387742.31,US Dollar,387742.31,US Dollar,Reinvestment,0
9/1/2022 2:25,20,80006E700,20,80006E700,4.68,US Dollar,4.68,US Dollar,Reinvestment,0
9/1/2022 2:17,11,800072020,11,800072020,4034.8,US Dollar,4034.8,US Dollar,Cheque,0
9/1/2022 2:06,11,800072020,11,800072020,1325.5,US Dollar,1325.5,US Dollar,Credit Card,0
9/1/2022 2:25,11,800072020,11,800072020,2101.31,US Dollar,2101.31,US Dollar,ACH,0
9/1/2022 2:24,11,8001916D0,11,8001916D0,3.29,US Dollar,3.29,US Dollar,Reinvestment,0
9/1/2022 2:21,2310,800229A30,2310,800229A30,13.64,US Dollar,13.64,US Dollar,Reinvestment,0
9/1/2022 2:15,214,8001D7830,1208,80022A760,1842.3,US Dollar,1842.3,US Dollar,Cheque,0
9/1/2022 2:11,214,8001D7830,1208,80022A760,635.23,US Dollar,635.23,US Dollar,Credit Card,0
9/1/2022 2:06,11,800229E30,11,800229E30,12470.88,US Dollar,12470.88,US Dollar,Reinvestment,0
